"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 10 12:55:05 UTC 2026","Wed Jun 10 12:55:05 UTC 2026","334","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnErrorForInvalidCepFormat","CT03- Validar CEP inexistente",""
"passed","Wed Jun 10 12:55:05 UTC 2026","Wed Jun 10 12:55:06 UTC 2026","602","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldValidateSuccessResponseSchema","CT04- Validar schema da resposta para CEP válido",""
"passed","Wed Jun 10 12:55:06 UTC 2026","Wed Jun 10 12:55:06 UTC 2026","230","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldValidateSuccessResponseSchema","CT04- Validar schema da resposta para CEP válido",""
"passed","Wed Jun 10 12:55:02 UTC 2026","Wed Jun 10 12:55:03 UTC 2026","1111","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnCepSuccesfuly","CT01- Validar CEP Válido",""
"passed","Wed Jun 10 12:55:05 UTC 2026","Wed Jun 10 12:55:05 UTC 2026","246","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnErrorForInvalidCepFormat","CT03- Validar CEP inexistente",""
"passed","Wed Jun 10 12:55:04 UTC 2026","Wed Jun 10 12:55:05 UTC 2026","303","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnErrorForCepNotFound","CT02- Validar CEP inválido com formato incorreto",""
"passed","Wed Jun 10 12:54:59 UTC 2026","Wed Jun 10 12:55:02 UTC 2026","2768","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnCepSuccesfuly","CT01- Validar CEP Válido",""
"passed","Wed Jun 10 12:55:03 UTC 2026","Wed Jun 10 12:55:04 UTC 2026","983","Surefire suite","Surefire test","br.com.viacep.automation.tests.cep.CepTest","br.com.viacep.automation.tests.cep.CepTest","shouldReturnErrorForCepNotFound","CT02- Validar CEP inválido com formato incorreto",""
